Author Name,Title,DOI,Publication Date,URL
Justin Li,Pandemic Effects on the Perception of Eating Disorder X Posts Among Adolescents and Transitional Age Youth,10.62414/001c.92179,2024-1-1,http://dx.doi.org/10.62414/001c.92179
Justin Li,A rational analysis and computational modeling perspective on IAM and déjà vu,10.1017/s0140525x23000092,2023,http://dx.doi.org/10.1017/s0140525x23000092
Justin Li,Data Fusion with Uncertainty Quantification for Observational Data,10.2172/2431013,2023-6-1,http://dx.doi.org/10.2172/2431013
Justin Li,Pandemic Effects on the Perception of Eating Disorder X Posts Among Adolescents and Transitional Age Youth,10.62414/001c.92179,2024-1-1,http://dx.doi.org/10.62414/001c.92179
Justin Li,A rational analysis and computational modeling perspective on IAM and déjà vu,10.1017/s0140525x23000092,2023,http://dx.doi.org/10.1017/s0140525x23000092
Justin Li,Data Fusion with Uncertainty Quantification for Observational Data,10.2172/2431013,2023-6-1,http://dx.doi.org/10.2172/2431013
Darren Larsen,"Floral analysis of a ~140 yr sediment record using sedaDNA and diatoms, Summit Lake Nevada, USA",10.5194/egusphere-egu23-10354,2023-5-15,http://dx.doi.org/10.5194/egusphere-egu23-10354
Eric Sundberg,Pairing strategies for the Maker–Breaker game on the hypercube with subcubes as winning sets,10.1016/j.disc.2023.113576,2023-10,http://dx.doi.org/10.1016/j.disc.2023.113576
Janet Scheel,Paediatric heart transplantation: life-saving but not yet a cure,10.1017/s1047951123004146,2024-1-23,http://dx.doi.org/10.1017/s1047951123004146
Janet Scheel,Variant reclassification with functional study in a biochemically confirmed LCHAD/ TFP deficiency patient,10.1016/j.ymgme.2024.108298,2024-4,http://dx.doi.org/10.1016/j.ymgme.2024.108298
Regina Freer,Faculty Development and Ownership of Community-Engaged Teaching and Learning,10.4324/9781003446606-28,2023-6-27,http://dx.doi.org/10.4324/9781003446606-28
Ross Lerner,Joy of the Worm: Suicide and Pleasure in Early Modern English Literature,10.1215/00267929-10928994,2023-12-8,http://dx.doi.org/10.1215/00267929-10928994
Ross Lerner,Marvell’s Issues: Race and the Curse of Ham,10.16995/marv.10506,2023-8-6,http://dx.doi.org/10.16995/marv.10506
Katarzyna Marciniak,Szkolnictwo jezuickie w Rzeczypospolitej,10.24425/118317,2023-10-17,http://dx.doi.org/10.24425/118317
Katarzyna Marciniak,Adwokat diabła. Cyceron według Roberta Harrisa,10.24425/118254,2023-10-17,http://dx.doi.org/10.24425/118254
Katarzyna Marciniak,Tyberiusz all inclusive – wycieczka z Jackiem Bocheńskim,10.24425/118319,2023-10-17,http://dx.doi.org/10.24425/118319
Katarzyna Marciniak,Kleopatra i paparazzi,10.24425/118395,2023-10-17,http://dx.doi.org/10.24425/118395
Katarzyna Marciniak,Dyktatura poety. August według Johna Williamsa,10.24425/118271,2023-10-17,http://dx.doi.org/10.24425/118271
Katarzyna Marciniak,The Description of Hells in the Mahāvastu I 9–16 Revisited,10.31338/uw.9788323558699.pp.295-320,2023,http://dx.doi.org/10.31338/uw.9788323558699.pp.295-320
Katarzyna Marciniak,Współcześni argonauci,10.24425/academiapan.2024.150045,2024-5-15,http://dx.doi.org/10.24425/academiapan.2024.150045
Katarzyna Marciniak,The Modern Argonauts,10.24425/academiapas.2024.150237,2024-5-21,http://dx.doi.org/10.24425/academiapas.2024.150237
Katarzyna Marciniak,The Story of Mālinī (Mālinī-vastu) in the Mahāvastu,10.60018/acasva.wfqc4864,2023,http://dx.doi.org/10.60018/acasva.wfqc4864
Katarzyna Marciniak,A New Buddhist Hybrid Sanskrit Reader,10.31826/9781463245672,2023-10-25,http://dx.doi.org/10.31826/9781463245672
Katarzyna Marciniak,Wąż,10.24425/118222,2023-10-17,http://dx.doi.org/10.24425/118222
Katarzyna Marciniak,The development of yellow lupin anthers depends on the relationship between jasmonic acid and indole‐3‐acetic acid,10.1111/ppl.14385,2024-7,http://dx.doi.org/10.1111/ppl.14385
